,song,artist
163,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick
164,Too Close,Alex Clare
165,I Won't Give Up,Jason Mraz
166,Haven't Met You Yet,Michael Buble
167,I Wanna Know,Joe
168,As I Lay Me Down,Sophie B. Hawkins
169,Hold My Hand,Hootie & The Blowfish
170,You Gotta Be,Des'ree
171,Come To My Window,Melissa Etheridge
172,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
173,All I Want For Christmas Is You,Mariah Carey
174,You Say,Lauren Daigle
175,Location,Khalid
176,Scars To Your Beautiful,Alessia Cara
177,Earned It (Fifty Shades Of Grey),The Weeknd
178,Let Her Go,Passenger
179,Safe And Sound,Capital Cities
180,Set Fire To The Rain,Adele
181,Breakeven,The Script
182,Face Down,The Red Jumpsuit Apparatus
183,Beverly Hills,Weezer
184,We Belong Together,Mariah Carey
185,This Love,Maroon 5
186,Headstrong,Trapt
187,Semi-Charmed Life,Third Eye Blind
188,Quit Playing Games (With My Heart),Backstreet Boys
189,Change The World,Eric Clapton
190,What About Me,Moving Pictures
191,Tainted Love,Soft Cell
192,What You Know Bout Love,Pop Smoke
193,Rockstar,DaBaby Featuring Roddy Ricch
194,Hot Girl Bummer,blackbear
195,Truth Hurts,Lizzo
196,Sorry,Justin Bieber
197,Sugar,Maroon 5
198,Brave,Sara Bareilles
199,Mirrors,Justin Timberlake
200,One More Night,Maroon 5
201,We Are Young,fun. Featuring Janelle Monae
202,Sexy And I Know It,LMFAO
203,Just A Kiss,Lady Antebellum
204,Over My Head (Cable Car),The Fray
205,Unwritten,Natasha Bedingfield
206,"Sugar, We're Goin' Down",Fall Out Boy
207,Ignition,R. Kelly
208,Can't Fight The Moonlight,LeAnn Rimes
209,If You're Gone,matchbox twenty
210,Where My Girls At?,702
211,You're Still The One,Shania Twain
212,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
213,The Freshmen,The Verve Pipe
214,Un-Break My Heart,Toni Braxton
215,C'mon N' Ride It (The Train),Quad City DJ's
216,Wild Night,John Mellencamp With Me'Shell Ndegeocello
217,Heat Waves,Glass Animals
218,Memories,Maroon 5
219,I Like Me Better,Lauv
220,1-800-273-8255,Logic Featuring Alessia Cara & Khalid
221,Unforgettable,French Montana Featuring Swae Lee
222,Body Like A Back Road,Sam Hunt
223,24K Magic,Bruno Mars
224,Love Yourself,Justin Bieber
225,Can't Feel My Face,The Weeknd
226,Take Me To Church,Hozier
227,Rude,MAGIC!
228,We Found Love,Rihanna Featuring Calvin Harris
229,Second Chance,Shinedown
230,Love Song,Sara Bareilles
231,She Will Be Loved,Maroon 5
232,White Flag,Dido
233,A Thousand Miles,Vanessa Carlton
234,Family Affair,Mary J. Blige
235,Everything You Want,Vertical Horizon
236,All For You,Sister Hazel
237,I Love You Always Forever,Donna Lewis
238,You're Makin' Me High/Let It Flow,Toni Braxton
239,The Sign,Ace Of Base
240,We Are The Champions,Queen
241,Levitating,Dua Lipa Featuring DaBaby
242,Speechless,Dan + Shay
243,The Middle,"Zedd, Maren Morris & Grey"
244,Rockstar,Post Malone Featuring 21 Savage
245,Panda,Desiigner
246,679,Fetty Wap Featuring Remy Boyz
247,Home,Phillip Phillips
248,Pumped Up Kicks,Foster The People
249,Sexy Chick,David Guetta Featuring Akon
250,Down,Jay Sean Featuring Lil Wayne
251,Poker Face,Lady Gaga
252,Low,Flo Rida Featuring T-Pain
253,The Sweet Escape,Gwen Stefani Featuring Akon
254,Waiting On The World To Change,John Mayer
255,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes
256,If I Ain't Got You,Alicia Keys
257,I Need To Know,Marc Anthony
258,I Will Remember You (Live),Sarah McLachlan
259,Return Of The Mack,Mark Morrison
260,This Is Your Night,Amber
261,"Insensitive (From ""Bed Of Roses"")",Jann Arden
262,I'm The Only One,Melissa Etheridge
263,Dazzey Duks,Duice
264,Red Red Wine,UB40
265,I'm So Excited,The Pointer Sisters
266,I Go Crazy,Paul Davis
267,Watermelon Sugar,Harry Styles
268,Trampoline,SHAED
269,I Don't Care,Ed Sheeran & Justin Bieber
270,Psycho,Post Malone Featuring Ty Dolla $ign
271,Love.,Kendrick Lamar Featuring Zacari
272,Attention,Charlie Puth
273,Something Just Like This,The Chainsmokers & Coldplay
274,In The End,Linkin Park
275,Heathens,twenty one pilots
276,Treat You Better,Shawn Mendes
277,I Hate U I Love U,gnash Featuring Olivia O'Brien
278,Ride,twenty one pilots
279,My House,Flo Rida
280,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
281,Habits (Stay High),Tove Lo
282,Fancy,Iggy Azalea Featuring Charli XCX
283,Timber,Pitbull Featuring Ke$ha
284,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton
285,I Will Wait,Mumford & Sons
286,Everybody Talks,Neon Trees
287,Someone Like You,Adele
288,Super Bass,Nicki Minaj
289,Firework,Katy Perry
290,You Found Me,The Fray
291,Hot N Cold,Katy Perry
292,Closer,Ne-Yo
293,Bleeding Love,Leona Lewis
294,No One,Alicia Keys
295,Move Along,The All-American Rejects
296,Dirty Little Secret,The All-American Rejects
297,Gold Digger,Kanye West Featuring Jamie Foxx
298,"1, 2 Step",Ciara Featuring Missy Elliott
299,Freek-A-Leek,Petey Pablo
300,The Way You Move,OutKast Featuring Sleepy Brown
301,Gimme The Light,Sean Paul
302,I Do!!,Toya
303,Drive,Incubus
304,Thank You,Dido
305,Bent,matchbox twenty
306,Where Do You Go,No Mercy
307,Give Me One Reason,Tracy Chapman
308,December,Collective Soul
309,Rhythm Is A Dancer,Snap!
310,Bust A Move,Young M.C.
311,The Twist,Chubby Checker
312,You Broke Me First.,Tate McRae
313,Rockin' Around The Christmas Tree,Brenda Lee
314,Life Is Good,Future Featuring Drake
315,Say So,Doja Cat Featuring Nicki Minaj
316,The Box,Roddy Ricch
317,Falling,Trevor Daniel
318,Sad!,XXXTENTACION
319,Ex's & Oh's,Elle King
320,Team,Lorde
321,Love You Like A Love Song,Selena Gomez & The Scene
322,I Like It,Enrique Iglesias Featuring Pitbull
323,TiK ToK,Ke$ha
324,The Way I Are,Timbaland Featuring Keri Hilson
325,You're Beautiful,James Blunt
326,Run It!,Chris Brown
327,Scars,Papa Roach
328,Mr. Brightside,The Killers
329,Goodies,Ciara Featuring Petey Pablo
330,The Reason,Hoobastank
331,Blurry,Puddle Of Mudd
332,Twisted,Keith Sweat
333,Wonder,Natalie Merchant
334,Be My Lover,La Bouche
335,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.
336,I Know,Dionne Farris
337,Tootsee Roll,69 Boyz
338,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora
339,Why Me,Kris Kristofferson
340,Senorita,Shawn Mendes & Camila Cabello
341,Suge,DaBaby
342,Going Bad,Meek Mill Featuring Drake
343,Humble.,Kendrick Lamar
344,Broccoli,D.R.A.M. Featuring Lil Yachty
345,I Took A Pill In Ibiza,Mike Posner
346,"Me, Myself & I",G-Eazy x Bebe Rexha
347,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
348,I'm Not The Only One,Sam Smith
349,Turn Down For What,DJ Snake & Lil Jon
350,Sweater Weather,The Neighbourhood
351,Glad You Came,The Wanted
352,Stronger (What Doesn't Kill You),Kelly Clarkson
353,Good Feeling,Flo Rida
354,Stereo Hearts,Gym Class Heroes Featuring Adam Levine
355,Don't Trust Me,3OH!3
356,Disturbia,Rihanna
357,Home,Daughtry
358,I Write Sins Not Tragedies,Panic! At The Disco
359,Because Of You,Kelly Clarkson
360,The Game Of Love,Santana Featuring Michelle Branch
361,He Wasn't Man Enough,Toni Braxton
362,Back At One,Brian McKnight
363,Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja
364,Just Another Day,Jon Secada
365,Into The Night,Benny Mardones
366,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
367,Without You,The Kid LAROI
368,Chasin' You,Morgan Wallen
369,Dance Monkey,Tones And I
370,Only Human,Jonas Brothers
371,God's Plan,Drake
372,Never Be The Same,Camila Cabello
373,Bad And Boujee,Migos Featuring Lil Uzi Vert
374,One Dance,Drake Featuring WizKid & Kyla
375,Work,Rihanna Featuring Drake
376,7 Years,Lukas Graham
377,My Boo,Ghost Town DJ's
378,Hotline Bling,Drake
379,Worth It,Fifth Harmony Featuring Kid Ink
380,Blank Space,Taylor Swift
381,Don't,Ed Sheeran
382,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
383,Best Day Of My Life,American Authors
384,Burn,Ellie Goulding
385,Just Give Me A Reason,P!nk Featuring Nate Ruess
386,I Knew You Were Trouble.,Taylor Swift
387,Locked Out Of Heaven,Bruno Mars
388,Drive By,Train
389,Wild Ones,Flo Rida Featuring Sia
390,Ni**as in Paris,Jay Z Kanye West
391,Crazy Girl,Eli Young Band
392,Grenade,Bruno Mars
393,Animal,Neon Trees
394,Gives You Hell,The All-American Rejects
395,Our Song,Taylor Swift
396,Who Knew,P!nk
397,Walk It Out,Unk
398,SexyBack,Justin Timberlake
399,My Humps,The Black Eyed Peas
400,Boulevard Of Broken Dreams,Green Day
401,Let Me Love You,Mario
402,The First Cut Is The Deepest,Sheryl Crow
403,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey
404,All My Life,K-Ci & JoJo
405,Name,Goo Goo Dolls
406,Breakfast At Tiffany's,Deep Blue Something
407,Roll To Me,Del Amitri
408,Kiss From A Rose,Seal
409,When Can I See You,Babyface
410,All That She Wants,Ace Of Base
411,Where Are You Now?,Jimmy Harnen With Synch
412,Gloria,Laura Branigan
413,Bang!,AJR
414,Jingle Bell Rock,Bobby Helms
415,Goosebumps,Travis Scott
416,Sweet But Psycho,Ava Max
417,Drip Too Hard,Lil Baby & Gunna
418,Boo'd Up,Ella Mai
419,Delicate,Taylor Swift
420,Young Dumb & Broke,Khalid
421,Sorry Not Sorry,Demi Lovato
422,Bad Romance,Lady Gaga
423,Low Life,Future Featuring The Weeknd
424,Cheerleader,OMI
425,Renegades,X Ambassadors
426,Want To Want Me,Jason Derulo
427,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
428,Roar,Katy Perry
429,When I Was Your Man,Bruno Mars
430,The Motto,Drake Featuring Lil Wayne
431,Not Over You,Gavin DeGraw
432,Good Life,OneRepublic
433,I Know You Want Me (Calle Ocho),Pitbull
434,Let It Rock,Kevin Rudolf Featuring Lil Wayne
435,Pocketful Of Sunshine,Natasha Bedingfield
436,No Air,Jordin Sparks Duet With Chris Brown
437,Hey There Delilah,Plain White T's
438,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc
439,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger
440,Drift Away,Uncle Kracker Featuring Dobie Gray
441,Wasting My Time,Default
442,Superman (It's Not Easy),Five For Fighting
443,Slide,Goo Goo Dolls
444,"No, No, No",Destiny's Child
445,Don't Let Go (Love),En Vogue
446,Nobody,Keith Sweat Featuring Athena Cage
447,Let Her Cry,Hootie & The Blowfish
448,In The House Of Stone And Light,Martin Page
449,Breathe Again,Toni Braxton
450,Don't Walk Away,Jade
451,Stand By Me,Ben E. King
452,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
453,One Too Many,Keith Urban Duet With P!nk
454,Starting Over,Chris Stapleton
455,Roses,SAINt JHN
456,Mine,Bazzi
457,Bodak Yellow (Money Moves),Cardi B
458,There's Nothing Holdin' Me Back,Shawn Mendes
459,XO TOUR Llif3,Lil Uzi Vert
460,Unsteady,X Ambassadors
461,Work From Home,Fifth Harmony Featuring Ty Dolla $ign
462,Let It Go,James Bay
463,Exchange,Bryson Tiller
464,Don't,Bryson Tiller
465,Here,Alessia Cara
466,Love Me Like You Do,Ellie Goulding
467,Centuries,Fall Out Boy
468,Animals,Martin Garrix
469,What Makes You Beautiful,One Direction
470,Take Care,Drake Featuring Rihanna
471,DJ Got Us Fallin' In Love,Usher Featuring Pitbull
472,In My Head,Jason Derulo
473,All The Right Moves,OneRepublic
474,Replay,Iyaz
475,Addicted,Saving Abel
476,Breathe (2 AM),Anna Nalick
477,Behind These Hazel Eyes,Kelly Clarkson
478,Lonely No More,Rob Thomas
479,Picture,Kid Rock Featuring Sheryl Crow Or Allison Moorer
480,One Last Breath,Creed
481,Hero,Enrique Iglesias
482,Fallin',Alicia Keys
483,Hit 'Em Up Style (Oops!),Blu Cantrell
484,(Hot S**t) Country Grammar,Nelly
485,Black Balloon,Goo Goo Dolls
486,"The Cup Of Life (The Official Song Of The World Cup, France '98)",Ricky Martin
487,Hard To Say I'm Sorry,Az Yet Featuring Peter Cetera
488,"I Believe I Can Fly (From ""Space Jam"")",R. Kelly
489,The World I Know,Collective Soul
490,Hook,Blues Traveler
491,Waterfalls,TLC
492,Get Ready For This,2 Unlimited
493,Found Out About You,Gin Blossoms
494,Do You Love Me,The Contours
495,Blueberry Faygo,Lil Mosey
496,Everything I Wanted,Billie Eilish
497,7 Rings,Ariana Grande
498,Close Friends,Lil Baby
499,Castle On The Hill,Ed Sheeran
500,Numb,Linkin Park
501,Let Me Love You,DJ Snake Featuring Justin Bieber
502,Animals,Maroon 5
503,Latch,Disclosure Featuring Sam Smith
504,Talk Dirty,Jason Derulo Featuring 2 Chainz
505,Let It Go,Idina Menzel
506,"Hold On, We're Going Home",Drake Featuring Majid Jordan
507,Clarity,Zedd Featuring Foxes
508,Don't You Worry Child,Swedish House Mafia Featuring John Martin
509,Adorn,Miguel
510,The A Team,Ed Sheeran
511,Titanium,David Guetta Featuring Sia
512,The Show Goes On,Lupe Fiasco
513,Down On Me,Jeremih Featuring 50 Cent
514,Teenage Dream,Katy Perry
515,Secrets,OneRepublic
516,Smile,Uncle Kracker
517,Telephone,Lady Gaga Featuring Beyonce
518,Boom Boom Pow,The Black Eyed Peas
519,Forever,Chris Brown
520,Umbrella,Rihanna Featuring Jay-Z
521,U + Ur Hand,P!nk
522,Lips Of An Angel,Hinder
523,Be Without You,Mary J. Blige
524,Photograph,Nickelback
525,Suga Suga,Baby Bash Featuring Frankie J
526,Right Thurr,Chingy
527,The Middle,Jimmy Eat World
528,Let Me Blow Ya Mind,Eve Featuring Gwen Stefani
529,Follow Me,Uncle Kracker
530,I Knew I Loved You,Savage Garden
531,Kiss Me,Sixpence None The Richer
532,What It's Like,Everlast
533,To The Moon And Back,Savage Garden
534,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
535,I Want You,Savage Garden
536,Da' Dip,Freak Nasty
537,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion
538,"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy
539,Anything,3T
540,Tell Me,Groove Theory
541,I'll Make Love To You,Boyz II Men
542,All I Wanna Do,Sheryl Crow
543,The Power Of Love,Celine Dion
544,Baby-Baby-Baby,TLC
545,Finally,CeCe Peniston
546,How Deep Is Your Love,Bee Gees
547,Dynamite,BTS
548,More Than My Hometown,Morgan Wallen
549,Break My Heart,Dua Lipa
550,Panini,Lil Nas X
551,When The Party's Over,Billie Eilish
552,Bad At Love,Halsey
553,Mercy,Shawn Mendes
554,This Is What You Came For,Calvin Harris Featuring Rihanna
555,Jumpman,Drake & Future
556,Take Your Time,Sam Hunt
557,Style,Taylor Swift
558,Jealous,Nick Jonas
559,Trumpets,Jason Derulo
560,Story Of My Life,One Direction
561,Wrecking Ball,Miley Cyrus
562,Only Time,Enya
563,Stay,Rihanna Featuring Mikky Ekko
564,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz"
565,Give Your Heart A Break,Demi Lovato
566,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
567,Paradise,Coldplay
568,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale
569,Whatcha Say,Jason Derulo
570,Crank That (Soulja Boy),Soulja Boy Tell'em
571,Bad Day,Daniel Powter
572,Holiday,Green Day
573,Collide,Howie Day
574,My Immortal,Evanescence
575,Hey Ya!,OutKast
576,Damn!,YoungBloodZ Featuring Lil Jon
577,Bring Me To Life,Evanescence Featuring Paul McCoy
578,Get Busy,Sean Paul
579,Foolish,Ashanti
580,U Got It Bad,Usher
581,South Side,Moby Featuring Gwen Stefani
582,Again,Lenny Kravitz
583,"Jumpin', Jumpin'",Destiny's Child
584,Try Again,Aaliyah
585,There You Go,P!nk
586,You Sang To Me,Marc Anthony
587,Say My Name,Destiny's Child
588,Get It On Tonite,Montell Jordan
589,Someday,Sugar Ray
590,Unpretty,TLC
591,Fly Away,Lenny Kravitz
592,...Baby One More Time,Britney Spears
593,Gettin' Jiggy Wit It,Will Smith
594,Sunny Came Home,Shawn Colvin
595,"For You I Will (From ""Space Jam"")",Monica
596,Always Be My Baby,Mariah Carey
597,Sweet Dreams,La Bouche
598,Ironic,Alanis Morissette
599,Only Wanna Be With You,Hootie & The Blowfish
600,Creep,TLC
601,Always,Bon Jovi
602,Sukiyaki,4PM
603,"End Of The Road (From ""Boomerang"")",Boyz II Men
604,"Baby, Come To Me",Patti Austin A Duet With James Ingram
605,Jessie's Girl,Rick Springfield
606,Baby Come Back,Player
607,Feelings,Morris Albert
608,Montero (Call Me By Your Name),Lil Nas X
609,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
610,Intentions,Justin Bieber Featuring Quavo
611,Ran$om,Lil Tecca
612,Look Back At It,A Boogie Wit da Hoodie
613,Beautiful Crazy,Luke Combs
614,Slow Hands,Niall Horan
615,Stay,Zedd & Alessia Cara
616,Mask Off,Future
617,Love On The Brain,Rihanna
618,Roses,The Chainsmokers Featuring Rozes
619,What Do You Mean?,Justin Bieber
620,Fight Song,Rachel Platten
621,"Honey, I'm Good.",Andy Grammer
622,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj"
623,Don't Tell 'Em,Jeremih Featuring YG
624,Rather Be,Clean Bandit Featuring Jess Glynne
625,Am I Wrong,Nico & Vinz
626,Show Me,Kid Ink Featuring Chris Brown
627,Gangnam Style,PSY
628,Payphone,Maroon 5 Featuring Wiz Khalifa
629,Starships,Nicki Minaj
630,Just Can't Get Enough,The Black Eyed Peas
631,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson
632,Jar Of Hearts,Christina Perri
633,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain
634,Fireflies,Owl City
635,Already Gone,Kelly Clarkson
636,Fallin' For You,Colbie Caillat
637,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo
638,Halo,Beyonce
639,So What,P!nk
640,Whatever You Like,T.I.
641,Better In Time,Leona Lewis
642,Love Remains The Same,Gavin Rossdale
643,Stop And Stare,OneRepublic
644,Tattoo,Jordin Sparks
645,Hips Don't Lie,Shakira Featuring Wyclef Jean
646,Ridin',Chamillionaire Featuring Krayzie Bone
647,Temperature,Sean Paul
648,Everytime We Touch,Cascada
649,"Dance, Dance",Fall Out Boy
650,La Tortura,Shakira Feat. Alejandro Sanz
651,Hollaback Girl,Gwen Stefani
652,Let Me Go,3 Doors Down
653,Lean Back,Terror Squad
654,No Letting Go,Wayne Wonder
655,Don't Know Why,Norah Jones
656,Complicated,Avril Lavigne
657,Video,India.Arie
658,I'm Real,Jennifer Lopez Featuring Ja Rule
659,Back Here,BBMak
660,I Want It That Way,Backstreet Boys
661,Every Morning,Sugar Ray
662,Believe,Cher
663,Say It,Voices Of Theory
664,They Don't Know,Jon B
665,Kiss The Rain,Billie Myers
666,Tubthumping,Chumbawamba
667,No Diggity,BLACKstreet (Featuring Dr. Dre)
668,Carnival,Natalie Merchant
669,I Believe,Blessid Union Of Souls
670,If You Go,Jon Secada
671,Don't Turn Around,Ace Of Base
672,You Mean The World To Me,Toni Braxton
673,Real Love,Mary J. Blige
674,Another One Bites The Dust,Queen
675,I Love The Nightlife (Disco 'round),Alicia Bridges
676,Hot Child In The City,Nick Gilder
677,I Just Want To Be Your Everything,Andy Gibb
678,Superstar,Murray Head With The Trinidad Singers
679,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
680,Best Friend,Saweetie Featuring Doja Cat
681,"10,000 Hours",Dan + Shay & Justin Bieber
682,BOP,DaBaby
683,Good As Hell,Lizzo
684,Ric Flair Drip,Offset & Metro Boomin
685,iSpy,KYLE Featuring Lil Yachty
686,Starboy,The Weeknd Featuring Daft Punk
687,1999,Prince
688,Die A Happy Man,Thomas Rhett
689,White Iverson,Post Malone
690,Photograph,Ed Sheeran
691,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
692,Talking Body,Tove Lo
693,Elastic Heart,Sia
694,Black Widow,Iggy Azalea Featuring Rita Ora
695,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
696,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert
697,"Gone, Gone, Gone",Phillip Phillips
698,Girl On Fire,Alicia Keys Featuring Nicki Minaj
699,Without You,David Guetta Featuring Usher
700,Tonight Tonight,Hot Chelle Rae
701,E.T.,Katy Perry Featuring Kanye West
702,F**kin' Perfect,P!nk
703,Raise Your Glass,P!nk
704,Airplanes,B.o.B Featuring Hayley Williams
705,OMG,Usher Featuring will.i.am
706,Whataya Want From Me,Adam Lambert
707,Empire State Of Mind,Jay-Z + Alicia Keys
708,Heartless,Kanye West
709,Fall For You,Secondhand Serenade
710,American Boy,Estelle Featuring Kanye West
711,Shake It,Metro Station
712,Don't Stop The Music,Rihanna
713,Cyclone,Baby Bash Featuring T-Pain
714,Misery Business,Paramore
